code,name,date,close,pctChg,amount,turn,peTTM,pbMRQ,hit_strategies,strategy_count,MA20,MA60,MA120,RSI14,DIF,DEA,K,D,J,avg_amount_60,vol20,amount20,max_dd_60,bias_ma60,ret60
sh.600219,,2026-02-27,7.08,0.7112,1835727937.5,2.2529,15.903587,1.563014,"LOW_VAL_BLUECHIP,UP_TREND",2,7.028999999999999,5.823710112,4.949407907666667,58.66041762693086,0.22746099569332223,0.2824132136434334,77.7623578842016,74.67968674480757,83.92770016298968,2015537588.394,380718700.05,2707452329.6275,0.19117647058823536,0.215719852781024,0.5733340325929035
sh.600188,,2026-02-27,17.72,4.2966,1434943677.35,1.3909,18.068886,3.408709,"LOW_VAL_BLUECHIP,UP_TREND",2,15.635500000000002,14.334499999999998,14.1947953405,71.98528562444767,0.9275073235323941,0.7349195981111081,82.47316966591637,81.81789274096221,83.7837235158247,760055818.3308333,90044880.8,1415537999.358,0.06214285714285709,0.236178450591231,0.2784992784992786
sh.600141,,2026-02-27,43.1,0.5131,1373606762.17,2.8623,29.982391,2.213399,"UP_TREND,MACD_KDJ_RESONANCE",2,40.2325,36.75833333333333,32.84758333333333,62.9261048825756,1.023554054302096,0.6896751196065637,73.05996909647331,72.81191833394547,73.55607062152899,873281316.7253333,28772884.3,1170839928.552,0.1578103527256068,0.17252323736114272,0.40025990903183883
sh.600237,,2026-02-27,11.0,-1.3453,1156595694.18,16.9146,61.048377,3.606251,"UP_TREND,MACD_KDJ_RESONANCE",2,9.922,9.441833333333333,8.626166666666668,67.37358154575097,0.22705298759498582,0.1101522444979165,91.88013156860642,88.1759063832547,99.28858193930984,498999956.6135,34900943.45,355494527.83500004,0.1325966850828729,0.16502797832341876,0.24434389140271495
sh.600230,,2026-02-27,24.76,9.9956,932633786.83,9.5646,189.367006,2.547353,"UP_TREND,MACD_KDJ_RESONANCE",2,20.887999999999998,16.331,14.46125,69.84707977423741,1.617561584682253,1.4661099931206767,88.662987202845,78.91431956826827,108.16032247199848,424710441.74733335,35576868.2,740623915.231,0.13392070484581495,0.5161349580552326,1.0412201154163232
sh.600100,,2026-02-27,9.52,1.6009,730376793.62,2.2962,188.457789,1.973588,"UP_TREND,MACD_KDJ_RESONANCE",2,9.2675,9.039333333333332,8.621166666666666,56.73440437845326,0.06111070142774011,0.04754441301422169,77.60407821615402,73.53999280667504,85.73224903511198,698383335.0656667,81870876.4,765058371.713,0.11220043572984743,0.053175012906556685,0.09174311926605494
sh.600028,,2026-02-27,6.46,-0.4622,683731002.16,0.1115,21.669315,0.940084,"LOW_VAL_BLUECHIP,UP_TREND",2,6.4425,6.110166666666667,5.836763339666666,54.69263245021129,0.10475867260939697,0.11847051067997581,43.48327275320659,50.772590415098875,28.904637429422024,1243615475.4033332,249247398.05,1604614838.774,0.05501618122977344,0.0572543029377266,0.11379310344827598
sh.600022,,2026-02-27,1.77,1.1429,562636495.64,2.9576,-28.391076,1.003573,"MACD_KDJ_RESONANCE,SMALL_GROWTH",2,1.6484999999999999,1.5656666666666665,1.56975,66.24213125623274,0.037799003106997464,0.025414750836862534,72.90789470006412,69.60074330627748,79.52219748763741,230349243.47766668,218011082.9,365175391.53849995,0.08823529411764701,0.13050883542686842,0.20408163265306123
sh.600114,,2026-02-27,35.51,-0.9484,467902592.32,2.1311,41.858872,6.914166,"UP_TREND,MACD_KDJ_RESONANCE",2,33.3685,31.338833333333334,30.634666666666668,64.03887944768582,0.727151794145108,0.48225125187456963,86.28953754733796,83.38096814007264,92.10667636186861,532949581.04749995,15569357.85,523254727.0820001,0.13676633444075298,0.13309897730717468,0.3069562016930436
sh.600063,,2026-02-27,7.32,0.6878,270501749.0,1.7904,27.565038,1.765755,"UP_TREND,MACD_KDJ_RESONANCE",2,7.0954999999999995,6.466084734,6.181116962999999,57.80432287268905,0.18312355875148167,0.18097059135028093,71.4476869078783,70.83815940336163,72.66674191691166,322800160.73683333,71328258.0,507694476.0224999,0.1149110807113543,0.1320606365564525,0.25563268330773137
sh.600075,,2026-02-27,6.61,3.605,255016569.35,2.3036,172.222603,1.261342,"UP_TREND,SMALL_GROWTH",2,6.2395,5.4446666666666665,5.09325,61.56318393493684,0.2637069409717192,0.2642159782631469,75.93859584021791,74.09431608915583,79.62715534234209,202386278.99949998,45349552.8,283761879.745,0.11591962905718702,0.21403208032325227,0.3628865979381446
sh.600098,,2026-02-27,7.38,2.2161,239490706.75,0.9312,11.230536,0.940769,"UP_TREND,MACD_KDJ_RESONANCE",2,7.044999999999999,6.827442918666667,6.803960305333334,66.65282596547027,0.09940263852386799,0.07548612768308437,87.0329046784939,78.08764630158902,104.92342143230371,146073016.45283332,25614328.45,180519192.231,0.0418994413407821,0.08093177605668544,0.11629171305327635
